id,user_id,transaction_detail,total_coins,coins,created_at,updated_at,category
1,32,"You have earned 20 coins for sharing an update on LinkedIn.",20,20,"2021-12-12 14:59:49","2021-12-21 16:26:24",li
2,32,"You have earned 15 coins for sharing an update on LinkedIn.",35,15,"2021-12-12 14:59:57","2021-12-21 16:26:31",li
3,81," Hey Friend, good you got 40 coins for the TODO list",40,40,"2021-12-12 17:02:45","2021-12-21 16:30:25",te
4,82," Hey Friend, good you got 40 coins for the TODO list",40,40,"2021-12-12 17:03:15","2021-12-21 16:30:28",te
5,81,"Good progress friend, you got 50 coins for completing a roadmap in your career.",90,50,"2021-12-12 17:03:41","2021-12-21 16:27:59",rm
6,81,"Good progress friend, you got 25 coins for completing a roadmap in your career.",115,25,"2021-12-12 17:03:53","2021-12-21 16:27:56",rm
7,81,"Good progress friend, you got 50 coins for completing a roadmap in your career.",165,50,"2021-12-12 17:04:03","2021-12-21 16:27:54",rm
8,82,"Good progress friend, you got 25 coins for completing a roadmap in your career.",65,25,"2021-12-12 17:04:29","2021-12-21 16:27:51",rm
9,82,"Good progress friend, you got 50 coins for completing a roadmap in your career.",115,50,"2021-12-12 17:04:35","2021-12-21 16:27:49",rm
10,82,"Good progress friend, you got 25 coins for completing a roadmap in your career.",140,25,"2021-12-12 17:04:41","2021-12-21 16:27:47",rm
11,80,"Good progress friend, you got 25 coins for completing a roadmap in your career.",25,25,"2021-12-12 17:04:57","2021-12-21 16:27:44",rm
12,80,"Good progress friend, you got 25 coins for completing a roadmap in your career.",50,25,"2021-12-12 17:06:03","2021-12-21 16:27:42",rm
13,43,"You have earned 30 coins for sharing an update on LinkedIn.",30,30,"2021-12-12 21:50:36","2021-12-21 16:26:55",li
14,43,"You have earned 30 coins for sharing an update on LinkedIn.",60,30,"2021-12-12 21:51:10","2021-12-21 16:27:02",li
15,43,"You have earned 15 coins for sharing an update on LinkedIn.",75,15,"2021-12-12 21:51:24","2021-12-21 16:27:05",li
16,32,"You have earned 15 coins for sharing an update on LinkedIn.",50,15,"2021-12-12 21:51:43","2021-12-21 16:27:07",li
